Company Name,Number of Medicines
BRUT PRODUCTS,10
HERBAL CANADA,10
SHREE BAIDYANATH AYURVED BHAVAN,10
OPERON,10
PROVEDA HERBALS,10
BIOTIC HEALTHCARE,10
PURPLE PANDA FASHION PRIVATE LIMITED,10
SYNERGYPHARMA FORMULATIONS INDIA PVT LTD,10
ENVIAN LIFE SCIENCES,10
FRIMLINE PVT LTD,10
ACVENTA RESEARCH LABS,10
NUTRACEUTICALS,10
LUXIFER BEAUTY NUTRITION PRIVATE LIMITED,10
SAIPRO BIOTECH PVT. LTD.,10
LANCE BIOTECH,10
IDEAL LIFE SCIENCES P LTD,10
RAINBOW HUMAN CARE PVT LTD,10
BIOLIFE HEALTHCARE,10
PACE,10
VOGUE PHARMACEUTICALS PVT LTD,10
FERMENTIS LIFE SCIENCES PVT. LTD.,10
FAIR AND LOVELY,10
ELLIOT BIOTECH,10
HERBAL CONCEPTS,10
RAY REMEDIES PVT LTD,10
FOREVER BODY CARE INDUSTRIES,10
SANCHETI BIOLABS,10
SHINTO ORGANICS PVT LTD,10
ARTISANAL SKINCARE,10
ELIXIR LIFE CARE PVT LTD,10
NEON NUTRACEUTICALS PVT LTD,10
BEAUTEOUS,10
ATOS LIFESCIENCES PVT LTD,10
JAIN PHARMACEUTICALS,10
MIRACLE PHARMA LTD,10
ERAAS INTERNATIONAL,10
ORCHID BIOTECH LTD,10
ZINDAGI,10
CUTIS DERMA CARE,10
GRACE DRUGS,10
KARSAN HEALTHCARE,10
KOLSON INDIA,10
BIODEAL PHARMACEUTICAL PVT LTD,10
KUDOS LABORATORIES INDIA LTD,10
PINENUT LIFE CARE INDIA PVT LTD,10
RAVENBHEL HEALTHCARE,10
A.S LIFESCIENCES,10
DAGON PHARMA,10
ACS PHARMACEUTICALS,10
SAAOL PHARMA PVT LTD,10
JOY BEAUTY CARE PVT LTD,10
SUNSILK,10
SERON PHARMA,10
ASPRANT LIFE SCIENCE PVT LTD,10
KSHIPRA HEALTH SOLUTIONS LLP,10
DENIS CHEM LAB LTD,10
UNIMAX LABORATORIES PVT LTD,10
VASOLIFE HEALTHCARE,10
WONDER THERAPUTICS PVT LTD,10
EDERMA PHARMA INDIA PVT LTD,10
FUTURE DERMACARE PVT LTD,10
MEDI GLOBE,10
VITO THERAPEUTICS PRIVATE LIMITED,10
LENUS LIFECARE PVT LTD,10
CHEMO BIOLOGICAL LIMITED,10
MACKENZIE PHARMACEUTICAL PRIVATE LIMITED,10
PARIDHI REMEDIES,10
INSTANT REMEDIES PVT LTD,10
SHETH BROTHERS CO LTD,10
P AND P DERMACEUTICALS,10
COMBAT DRUGS LIMITED,10
NORTECH REMEDIES,10
MYOL PHARMA,10
CORAL LABORATORIES LTD,10
NANZ MED SCIENCE PHARMA PVT LTD,10
AUSTIN HEALTH CARE,10
SHREE SHARAVANA SURGICALS,10
NATEL NEUTRATEC,10
DEXBIO PHARMA,10
SAI MIRRA INNOPHARM PVT LTD,10
DOLLAR,10
ACTO PHARMACEUTICAL LAB,10
VESPER PHARMACEUTICALS,10
LEXICA PHARMACEUTICAL,10
OSWALD PHARMACEUTICALS,10
AGE AYURVEDA,10
GLORIOR BIOTECH PVT LTD,10
BAKSONS HOMEOPATHY,10
EMAR HEALTH CARE,10
AVIATOR LIFESCIENCE PVT LTD,10
XPERIA HEALTHCARE,10
CRIUS LIFE SCIENCE PVT LTD,10
THYONE HEALTH CARE,10
MAXX FARMACIA INDIA PVT LTD,10
ZANEKA PHARMACEUTICALS,10
NARVS PHARMA,10
VIILBERY HEALTHCARE PVT LTD,10
ACUPRESSURE,10
BIOCIA HEALTHCARE,10
ZEAL CARDIOS,10
ELIXIR PHARMA,10
SHELON PHARMACEUTICALS,10
HELLIX HEALTHCARE PVT LTD,10
NEURO LIFE SCIENCE,10
L'AMAR HEALTHCARE PRIVATE LIMITED,10
UNICURE INDIA PVT LTD,10
ZUNARSH LIFE SCIENCES PVT LTD,10
APICHEM HEALTHCARE,10
BENCURE LIFE SCIENCES,10
INVASION PHARMACEUTICALS PVT LTD,10
AMORE HEALTH ESSENTIALS PVT LTD,10
NIDHI PHARMACEUTICALS,10
ONCOMED PHARMACEUTICALS,10
COSMEDERMA REMEDIES,10
IDEAL REMEDIES,10
MAESTRO HEALTHCARE PVT LTD,10
TORGEM PHARMACEUTICALS PVT LTD,10
STANMARK PHARMA,10
MVD PHARMACEUTICALS PVT LTD,10
CLARET LIFESCIENCES,10
TAB Q THERAPEUTICS,10
PLENTEOUS PHARMACEUTICAL,10
REDSON PHARMACEUTICALS,10
VINTECH REMEDIES,10
ELIKEM PHARMACEUTICALS PVT LTD,10
DARKT PHARMACEUTICALS PVT LTD,10
SAKTHI PHARMA,10
NEWGEN PHARMA PRIVATE LIMITED,10
HENIN LUKING PHARMA PVT LTD,10
BLISSON MEDICA PRIVATE LIMITED,10
KAIZEN DRUGS PVT LTD,10
DYSNEC PHARMA,10
ALNA BIOTECH PRIVATE LIMITED,10
ASTERISM PHARMACEUTICALS PVT LTD,10
RIOZEN PHARMA,10
FIALE PHARMACEUTICALS,10
AMPUS LIFESCIENCES LTD,10
PHARMAAFFILIATES HEALTHCARE,10
PAGODA PHARMACEUTICALS,10
HEALTH PLAN PHARMA INDIA PRIVATE LIMITED,10
SANJIVANI PARENTERAL LTD,10
NORRIS MEDICINE LTD,10
WINMAC LABORATORIES LIMITED,10
ANGEAS HEALTHCARE LTD,10
DAK PHARMA,10
MORTINE,10
VITHOBA,10
AFFERENT WEARBLE TECH PVT LTD,9
AROMED PHARMACEUTICALS,9
ADOREFEM,9
PARAMOUNT SURGIMED LTD,9
ORIMAX HEALTHCARE,9
RAMARAJU SURGICAL COTTON LTD,9
WEBCOT LTD,9
AARAV PHARMACEUTICALS,9
PROCURE MEDICA,9
KOTAK LIFE SCIENCES,9
MORVIN INDIA HEALTH CARE PVT LTD,9
THE WHITE WILLOW,9
ASOLEAR PHARMA PVT LTD,9
LOTUS HERBALS PVT LTD,9
VIVIMED LABS LIMITED,9
VALENCIA NATURALS,9
MEDYESA HEALTHCARE,9
MEGDE HEALTHCARE,9
YODEVA PLASTICS,9
EMPHAATIC PHARMACEUTICALS PVT LTD,9
LIVA HEALTHCARE,9
PAPILLON PHARMACEUTICAL PVT LTD,9
UNIBIC BISCUITS INDIA PVT.LTD.,9
BIOSIRI LIFE SCIENCES,9
CALL THE DOC HEALTHCARE SOLUTIONS PVT. LTD.,9
ROOTS LIFE SCIENCES,9
STRATEGI,9
CONCEPT BIOSCIENCES PVT LTD,9
3M HEALTHCARE,9
SMEAR INDIA HEALTHCARE PVT LTD,9
JOINTCARE PHARMA,9
GAMMEX,9
GLENWELL PHARMA,9
DIABLISS,9
UNITED LABORATORIES INDIA PVT LTD,9
SLEEPRITE SHOTZ,9
OLYMPUS THERAPEUTICS PVT LTD,9
SAT PHARMA,9
VIRTUE REMEDIES,9
MICRO2MRGA HEALTHCARE,9
MAY AND BAKER PHARMACEUTICALS LTD,9
ORIVA LIFESCIENCES PVT LTD,9
LIVIA HEALTHCARE LLP,9
GENERIX LIFESCIENCES PVT LTD,9
MAKEOWN PHARMA PVT LTD,9
SARGAS LIFE SCIENCES,9
ZIMINTA,9
NOPEX HEALTHCARE,9
SATVEN AND MER PHARMA,9
DEPSONS HEALTHCARE,9
DIVERSEY,9
DERMACEUTICS INDIA,9
MEDMORE PHARMA PVT LTD,9
HICK THERMOMETER LTD,9
ENVIRON CARE,9
DHANVANTARI MEDCINES AND EQUIPMENTS PVT LTD,9
ORIENT PHARMACEUTICALS,9
STERLING LAB,9
ALISIER DRUGS PVT LTD,9
SYNOD PHARMA PVT LTD,9
INDILLINA PHARMACEUTICALS LTD,9
CYTOZ PHARMACEUTICALS,9
SUNLIFE SCIENCES PRIVATE LIMITED,9
KRUPS,9
MEDLIFE GENETICS,9
ASSENTUS BIOGENICS,9
SAINTLIFE MEDISCIENCE PVT LTD,9
MEDISUN PHARMA,9
BRUZE LAB PVT LTD,9
JMS MEDICON PVT LTD,9
H AND CARE INCORP INDIA,9
WISTERIA HEALTH CARE LTD,9
JIOMED HEALTHCARE PVT LTD,9
DELIZIA PHARMACEUTICAL PVT LTD,9
KIWI PHARMACEUTICALS PVT LTD,9
BIOSWIZZ PHARMACEUTICALS,9
MEDINN BELLE HERBALCARE PVT LTD,9
BENGAL IMMUNITY LTD.,9
MEDISTE PHARMACEUTICALS PVT LTD,9
AYUSHMAN PHARMACEUTICAL,9
SOLARIUM PHARMACEUTICALS,9
FOREVER LIVING,9
RION LIFE SCIENCE PVT LTD,9
ARMOUR INDIA,9
MAHESHWARI INDUSTRIES,9
CUTE CARE LIFE SCIENCES PVT LTD,9
VIX PHARMA INTERNATIONAL,9
BIOVZN,9
ROYAL CANIN LABS,9
ACMEDIX PHARMA LLP,9
BIOPHARM LABORATORIES,9
GLANTO PHARMA,9
LACTONOVA INDIA,9
MEDICIS LIFESCIENCES PVT LTD,9
ALDAN HEALTHCARE PVT LTD,9
MANCARE HEALTHCARE PVT LTD,9
OCEAN DRINK PVT LTD,9
OZONE AYURVEDICS,9
EVEREN HEALTHCARE,9
SAGAR PHARMACEUTICALS,9
EK-TEK,9
CADILA HEALTHCARE LIMITED,9
HYGIENIC RESEARCH INST,9
RANGOON CHEMICAL WORKS,9
MEDIHANDS PHARMACEUTICALS,9
NIKHI HEALTH CARE PRIVATE LIMITED,9
RIZER HEALTHCARE PVT LTD,9
ODDIANT FORMULATIONS,9
AKOGNOS LIFE SCIENCES,9
TRIO REMEDIES,9
VETCARE,9
HALLMARK FORMULATIONS PHARMACEUTICALS,9
AFFINITY,9
PHILIPS INDUSTRIES,9
METLAR FORMULATIONS,9
ARIAAN PHARMACEUTICALS,9
CROSSED FINGERSS ORGANIC PRIVATE LIMITED,9
BIO OXY PHARMA,9
HILBERT HEALTHCARE,9
ZYDICA HEALTHCARE,9
ZEN LIFE SCIENCES LTD,9
OPTICARMA (INDIA) SMC PVT LTD,9
MEPRO PHARMACEUTICALS,9
USR REMEDIES,9
ASMED HEALTH CARE,9
TECHNO PHARM PVT LTD,9
MERYL PHARMA,9
POLAIRE PHARMACEUTICALS,9
MEDI SOFT PHARMA,9
TRIO BIOTECH PRIVATE LIMITED,9
AURIS BIOSCIENCES,9
SIMPEX PHARMA PVT LTD,9
LGLSI PHARMA,9
SUPERMAX LABORATORIES,9
UNIMAC PHARMACEUTICALS PVT LTD,9
MEDMERUS LIFE SCIENCES,9
KANSAS LAB,9
ASARVA LIFESCIENCE PVT LTD,9
REPS PHARMACEUTICALS,9
LEMFORD BIOTECH PVT LTD,9
MEDGENIX PHARMA INDIA PVT LTD,9
NEPTUNE LIFE SCIENCES PVT LTD,9
PSYCOREMEDIES LTD,9
RADIUS HEALTHCARE,9
ESQUIRE DRUG HOUSE,9
HEAL INDIA LABORATORIES PRIVATE LIMITED,9
LAKSHYA REMEDIES PVT LTD,9
GENOME REMEDIES PVT LTD,9
KOSHA LABORATORIES,9
AVITA BIOPHARMACEUTICALS,9
INDKUS DRUGS PHARMA PVT LTD,9
KARE HEALTH SPECIALITIES PVT LTD,9
BAYBERRY PHARMA,9
RAMYLABS HEALTH CARE,9
CARREL PHARMA,9
WELGENIC PHARMA,9
FUJIN KAMI PHARMACEUTICO,9
NORDIC PHARMA LTD,9
LUPITAS PHARMA PVT LTD,9
OCEAN DRINK PRIVATE LIMITED,9
BIOZEN HEALTH PRODUCTS PVT LTD,9
SUNGRACE PHARMA,9
EVOK LIFESCIENCES PVT LTD,9
SUMBIOTIC PHARMACEUTICALS PVT LTD,9
SOLUTIA PHARMA,9
CERSPIN HEALTHCARE PVT LTD,9
OYSTER PHARMA PVT LTD,9
BIOFIELD PHARMA PVT LDT,9
ANDIC LIFESCIENCES PVT LTD,9
THEMIS GENERIC,9
VIDYUT METALLICS LTD,9
PUSHPARAJ,9
L AND L,9
SS HEALTHCARE,8
BELIEVE PTE LTD,8
ENKAY (INDIA) RUBBER CO. LTD,8
ZUNISON HEALTHCARE,8
HUMAN PHARMACEAUTICALS,8
GSA BIO PHARMA,8
STERICON PHARMA,8
LOTUS BEAUTY CARE PRODUCTS PVT LTD,8
SWAYAMACARE PVT. LTD.,8
SANSTUTI PHARMACEUTICALS PVT LTD,8
SRIVEDA SATTVA PRIVATE LIMITED,8
VALIANT HEALTHCARE LTD,8
JOYDIVISION,8
ORRIN PHARMA,8
DILIGENCE PHARMA,8
ZYDILLAC BIOTECH,8
BLISS LIFECIENCES LLP,8
INDO RAMA ENGINEERS,8
NECTOR FOOD PRIVATE LIMITED,8
IMMORTAL BIOTECH PVT LTD,8
BODYGUARD,8
GREEN CROSS HEALTH INNOVATION,8
SCINTICAA PHARMA,8
TANISHQ LIFE CARE,8
FUTURE CONSUMER ENTERPRISE LTD,8
SHALMAN PHARMACEUTICALS PVT LTD,8
GLENMARK CONSUMER HEALTHCARE,8
VEEBA FOOD SERVICES PRIVATE LIMITED,8
LIFELINE HEALTH CARE,8
LIFREE,8
OXIRICH HEALTHCARE PVT LTD,8
ROYAL CANIN,8
FLORIS SKIN CARE,8
SHIMMER PHARMA,8
LAVUE PHARMACEUTICALS PVT LTD,8
R R TRADING PVT LTD,8
PRECEPT PHARMA LTD,8
MALVERN PHARMA,8
GUARDEVER LIFE SCIENCES,8
TACTUS NUTRASCIENCE,8
AMELIA HEALTHCARE,8
UNEXO LIFE SCIENCES,8
JAFFMAN PHARMACEUTICALS,8
MEDICON HEALTHCARE,8
MEDICON LABORATORIES,8
PHOENIX REMEDIES PVT LTD,8
MAXNOVA,8
ISHA AGRO DEVELOPERS PVT LTD,8
FIRST CARE INDIA PRIVATE LIMITED,8
DERMONT PHARMACEUTICALS PVT LTD,8
REAL CARE LIFE SCIENCES,8
INDOMEDIX,8
FIDES PHARMACEUTICALS,8
SHEF BIOTECH PRIVATE LIMITED,8
STAUNCH HEALTH CARE PVT LTD,8
HEAL INDIA PHARMACEUTICALS LLP,8
SUNWIN HEALTHCARE PVT LTD,8
CURADOR HEALTHCARE PVT LTD,8
BSN MEDICAL PVT LTD,8
INCIPE PHARMCEUTICALS,8
VYONICS,8
HANDH,8
RUDRAKSHA PHARMACEUTICAL,8
SHAILESH SURGICAL,8
ARTEMISIA HEALTH CARE,8
FHM PHARMA PVT LTD,8
Q4Q HEALTH SOLUTIONS,8
CHIRON PHARMACEUTICALS PVT LTD,8
CISTA MEDICORP,8
P & P DERMACEUTICS,8
SEDGE BIOCEUTICALS INC INDIA,8
RAYMOND CONSUMER CARE PRIVATE LIMITED,8
BALSARA HOME PRODUCTS,8
TRION PHARMA,8
STRENUOUS HEALTHCARE PVT LTD,8
AKAY COSMETICS,8
AYURVEDA RASASHALA,8
SOOTHE HEALTHCARE PVT LTD.,8
ELEMENT PHARMACEUTICALS PVT LTD,8
MEDFORD PHARMA,8
HEALTHLINE,8
SAFFRON FORMULATIONS PVT LTD,8
COLOPLAST,8
TTK PROTECTIVE DEVICES LIMITED,8
GROWELL VISION,8
AKROVIS PHARMACEUTICALS,8
SUNCARE FORMULATIONS PRIVATE LIMITED,8
WONDER DRUGS PVT LTD,8
UNILEVER,8
GREENKURE,8
TRIKONA PHARMACEUTICALS PRIVATE LIMITED,8
GLADIOLUS LIFESCIENCES PVT LTD,8
ORIEL,8
SPLENDID PHARMACEUTICALS PVT.LTD,8
IIFA HEALTHCARE,8
ELIO BIO CARE LIFESCIENCES PVT LTD,8
BIO-MED PRIVATE LIMITED,8
NISARGA HEALTH CARE PVT LTD,8
MOXY LABORATORIES PRIVATE LIMITED,8
NOBEL HYGEINE PVT LTD,8
SENTINEL REMEDIES,8
NUTRILIFE PVT LTD,8
PHYTO PHARMA,8
ROWLINGES LIFE SCIENCES,8
LOTUS HERBALS,8
EUCARE PHARMACEUTICALS,8
HAGNOUS BIOCEUTICALS,8
BEEKAY ENTERPRISES,8
KYMEX HEALTHCARE,8
MEDIGENESIS,8
ASHWINI HOMCO,8
TRI PHARMA,8
SHREE BAIDYANATH AYURVED BHAWAN PVT. LTD.,8
NOIR PHARMA PVT LTD,8
NATURE'S BOUNTY,8
AZVESTON PHARMACEUTICALS,8
RADICURA PHARMA,8
PRO VITALIS LIFE KARE,8
BIROTIS LIFE SCIENCE PVT LTD,8
ARGIL LIFE SCIENCES,8
ADIKAN HEALTHCARE,8
MIDAS HEALTHCARE LTD,8
DREAM PHARMA,8
WOLVER BIOTEC,8
RADDISON PHARMACEUTICALS,8
HBC DERMIZA HEALTHCARE PRIVATE LIMITED,8
DR MONI PHARMA,8
J M REMEDIES,8
CURATAS PHARMACEUTICALS,8
ADMAK PHARMACEUTICALS PVT LTD,8
MEDILLOYD MEDICAMENT PVT LTD,8
J B LIFE SCIENCES,8
SBS BIOTECH,8
COGENTRIX PHARMA,8
CIAGA PRIVATE LIMITED,8
CNX HEALTHCARE PVT LTD,8
SAN BIOMEDICS,8
ALPORTS HEALTHCARE PVT,8
GREEN REMEDIES,8
ECLIPSER PHARMACEUTICALS,8
NEXUS PHARMA,8
ATLINA LIFESCIENCES (OPC)PVT LTD,8
GLEBIT LABORATORIES,8
EVERWELL PHARMA PVT LTD,8
SHILA ART PACKAGING,8
VIBRANT HEALTHCARE PVT LTD,8
UNIVERSAL LIFECARE,8
WISDOM PHARMA PVT LTD,8
ANCHAL LIFESCIENCES,8
QUORTICAL SR LIFE SCIENCES,8
CROFORD PHARMA PVT LTD,8
MAX PHARMA,8
GREVIS PHARMACEUTICALS PVT LTD,8
GAYLON,8
STAFFORD LABORATORIES PVT LTD,8
UNIROYAL BIOTECH,8
CURACASA PHARMA,8
SAMCO PHARMACEUTICALS,8
Q CHECK PHARMACEUTICALS,8
VITAL FORMULATIONS,8
ASTRA IDL LIMITED,8
ZYDUS BIOCHEM,8
AFFIANCE DRUGS & FORMULATIONS,8
MACROCHEM,8
SALI HEALTH CARE,8
ONTOP PHARMACEUTICALS LTD,8
OKINAWA PHARMACEUTICALS PVT LTD,8
ZEPHON LIFESCIENCES,8
SERVO HEALTH CARE,8
RADIX BIOTECH PVT LTD,8
KIND'S PHARMA,8
RECOUPE PHARMA,8
UNIVERSAL LABS,8
SAPAT,8
TARGOF PURE DRUGS TD,8
KARLE HEALTH SCIENCES PVT LTD,8
JOGSONPAL PHARMACEUTICALS PVT LTD,8
ASSIDUOUS LIFE SCINCES PVT LTD,8
FIGOMED HEALTH CARE,8
GLOBE PHARMA,8
KAYTROSS HEALTHCARE LTD,8
OSVEL PHARMA,8
WELLNESS REMEDIES PVT LTD,8
HIPOTEN BIOCHEM PVT LTD,8
GLAT PHARMACEUTICAL LTD,8
DELVIN FORMULATIONS PRIVATE LTD,8
MONARCH LABS,8
CHEMIDA LABS (P) LTD,8
AUZTUS LABORATORIES PVT LTD,8
MEDITUNE HEALTHCARE PVT LTD,8
MENARINI INDIA PVT LTD,8
CHOROID LABORATORIES,8
KARNA INATERNATIONAL,7
GUFIC BIOSCIENCES,7
DR JOHNS LABS HEALTHCARE PRIVATE LIMITED,7
DORCA MARKET MAKERS P LTD  CHENNAI,7
SKORE,7
SECURA LIFE SCIENCES,7
PAARZON PHARMACEUTICALS,7
NATROL LLC,7
SARA LEE,7
PINQ STORY PVT LTD,7
FAIR DERMA REMEDIES,7
PRAGATI PHARMA,7
KAIPRO HEALTHCARE,7
NUTRITIONALAB PRIVATE LIMITED,7
APRAZER HEALTHCARE PVT LTD,7
BIOMAX LABORATORIES,7
MEDICARE PHARMACEUTICALS,7
PARAG MILK FOODS LTD,7
GREAT LIFESCIENCES PVT LTD,7
SRS INDUSTRIES,7
SSK PHARMA,7
GRANMED PHARMA PVT LTD,7
TECHYON BIOTECH PVT LTD,7
SOMEX LIFE SCIENCES PRIVATE LIMITED,7
MERISANT INDIA PRIVATE LIMITED,7
FLOURISH PHARMA,7
PIERRE FABRE DERMA COSMETICS,7
J.K. ANSELL LIMITED,7
CURATIO HEALTH CARE,7
CONTOUR,7
V R MED INFORMATICS PVT LTD,7
NURECA PRIVATE LIMITED,7
PINNACLE MEDICARE PVT LTD,7
RHYTHM PHARMA,7
LIVE PHARMA,7
SOLISTAA PHARMACEUTICALS PRIVATE LIMITED,7
MARTIN & HARRIS PVT LTD,7
DATT MEDIPRODUCTS PVT LTD,7
WOW SKIN SCIENCE,7
JONAS PHARMACEUTICALS,7
ALENTICA PHARMACEUTICALS PVT LTD,7
BIOGEN LIFE,7
PARK PHARMACEUTICAL,7
CLARISSE PHARMACEUTICALS,7
ROWEZ LIFE SCIENCES PVT LTD,7
CUPID LIMITED,7
KAVIVA LIFE SCIENCES PVT LTD,7
PACIFIC MEDITECH PVT LTD,7
MEDHEAL PHARMACEUTICALS,7
STARTELL BIOCEUTICALS PVT LTD,7
KOSMICA DERMACARE,7
PRISTYN PHARMA,7
SUDHA LIFESCIENCES,7
RUPASHREE HEALTHCARE PVT LTD,7
LA NUTRACEUTICALS,7
FIELDFRESH FOODS PVT LTD,7
MEDICO HEALTHCARE,7
THREPSI SOLUTIONS PVT LTD,7
VIMSON DERMA,7
SCITECH SPECIALISTIES PVT LTD,7
UPAKARMA AYURVEDA,7
HOLY LIFESCIENCES,7
MEDISYS BIOTECH PVT LTD,7
DEVOTION HEALTHCARE PVT LTD,7
CHARAN LABORATORIES PVT LTD,7
BAL PHARMA,7
SYNERHEAL PHARMACEUTICALS,7
DWARKESH PHARMACEUTICALS PVT LTD,7
MUSCLETECH NUTRITION,7
OSR PHARMA,7
MITIS BIOMEDICS LTD,7
RENAUXE PHARMA INDIA PVT LTD,7
MEDICOM HEALTHCARE,7
CARYOTA LABS INDIA PVT LTD,7
HEALTHCARE FORMULATIONS PVT LTD,7
NOVACHEM LIFE SCIENCE PVT LTD,7
OPTHO LIFE SCIENCES PVT LTD,7
EVERSHINE LIFESCIENCES PVT LTD,7
FOGG,7
ACE KINETICS HEALTH CARE PRIVATE LIMITED,7
ACCRA PAC PVT LTD,7
WELLMARK LIFESCIENCES PRIVATE LIMITED,7
PARCIT AUTOCRAZY,7
BPL SOFT ENERGY SYSTEMS LTD.,7
SHILAR PHARMACEUTICAL,7
VASELINE,7
URBAN GABRU,7
TRESEME,7
AVETA PHARMA,7
CUTIS BIOLOGICALS,7
LEOGARD PHARMACEUTICALS PVT LTD,7
SCHWITZ BIOTECH,7
BRIGHT LIFECARE PVT LTD,7
AIRIER PHARMACEUTICAL PVT LTD,7
CELL SALVE PHARMACEUTICALS,7
ARMOR REMEDIES,7
ARAVIND REMEDIES LTD,7
LIFESCAN SCOTLAND LTD.,7
NIMVAS DERMACARE,7
ASK ENTERPRISES,7
BIOCUTE LIFE CARE,7
INNOVA FORMULATIONS PVT LTD,7
SHREE DHANWANTRI HERBALS,7
ALBATROSS PHARMACEUTICALS,7
KYNA PHARMA,7
PROKURE LIFE SCIENCES,7
BESTEL LABORATORIES PVT LTD,7
APEX LABORATORIES LTD,7
HINIKAM DRUGS & PHARMACEUTICALS,7
ALLEN LABORATORIES,7
ADN PHARMACEUTICALS PVT LTD,7
RHYS HEALTHCARE PRIVATE LTD,7
CAMILLUS HEALTHCARE,7
VIRCHOWS LABORATOTIES LTD,7
BODE CHEMIE,7
INDO LABS,7
HOSPIMAX HEALTHCARE PVT LTD,7
MARKSANS PHARMA LTD,7
GEOLIFE SCIENCES,7
EVANTAS BIOTECH PVT LTD,7
AARKIOS HEALTHCARE,7
JAYCOT INDUSTRIES,7
QUORA PHARMACEUTICALS PVT LTD,7
OVERSEAS HEALTHCARE PVT LTD.,7
FIRST HORIZON PHARMACEUTICALS,7
UNIVED,7
SATGURU,7
MEDCURE ORGANICS,7
PROCTOR ORGANICS (P) LTD,7
VOLINI,7
CYPER DRUGS & PHARMACEUTICALS PVT LTD,7
SYMPHONY,7
DISHA SURGICALS PVT LTD,7
MAGANLAL CHUNILAL GANDHI,7
E MERCK INDIA,7
KERALA AYURVEDIC PHARMACY LTD,7
MARS REMEDIES,7
DERMACO,7
NAPHA PHARMA.PVT LTD,7
EASTERN HEALTHCARE,7
SUNNIVA LIFESCIENCES,7
MAXZIMAA PHARMACEUTICALS PRIVATE LIMITED,7
GAYATRI ENTERPRISES,7
PROPEL HEALTHCARE,7
NUTRIGEN PHARMA,7
GLOBAL ORGANICS,7
QUIXOTIC PHARMA PVT LTD,7
COMEX PHARMA,7
SAANVIKA PHARMA,7
GLENWOOD BIOTECH PVT LIMITED,7
TRIGAT LIFESCIENCES,7
SIMBROWN LABORATORIES PVT LTD,7
SOLANO HEALTHCARE,7
CYGNUS PHARMACEUTICAL,7
EURO BIOTECH,7
VINCA LIFE SCIENCES,7
VATICAN LIFE SCIENCES PVT LTD,7
LIFECOM PHARMACEUTICALS,7
AMBROZA LIFECARE LLP,7
ICARUS HEALTHCARE PRIMUS,7
ARCHICARE LIMITED,7
EGOR PRODUCE,7
EMIL PHARMACEUTICALS INDUSTRIES PVT LTD,7
AQUINA PHARMA,7
KRISTA LIFE SCIENCES,7
MC MEDIBIO LIFE SCIENCES PVT LTD,7
INDO SWISS REMEDIES,7
CALYX REMEDIES PVT LTD,7
YAMI PHARMA,7
VEREOR HEALTHCARE,7
AKSHAR MOLECULES,7
SUNVIJ DRUGS PVT LTD,7
ZYDUS ONCOSCIENCES,7
CAVENTIS PHARMA PVT LTD,7
ETHYPHARM,7
MONISON'S,7
WAYONEXT PHARMACEUTICALS PVT LTD,7
DYNAMARK LIFE SCIENCES PRIVATE LIMITED,7
MARK REMEDIES PVT LTD,7
PAEON WELLNESS AND NUTRITION LIMITED,7
LOBA CHEMIE PVT LTD,7
INFRA PHARMACEUTICALS PVT LTD,7
SHERRING LIFE SCIENCES,7
LIFEZEN HEALTHCARE PVT LTD,7
EVERCURE PHARMACEUTICALS,7
P C INDIA PHARMA PVT LTD,7
MIRAH BELLE,7
GENOME THERPEUTICS,7
CURIS MANKIND,7
INTERPHAR HEALTHCARE PVT LTD,7
SAVAN LAB,7
OSTRICH PHARMACEUTICALS PRIVATE LIMITED,7
SUNNY INDUSTRIES PVT,7
ACME GENERICS LLP,7
ALTAVISTA,7
SAITECH MEDICARE PVT LTD,7
RATCHET BIOTECH PVT LTD,7
M S OPTHALMIC,7
MACSOL PHARMA,7
ARKSON PHARMACEUTICALS,7
AYURVED VIKAS SANSTHAN,7
MEDIQUEST PHARMACEUTICALS PVT LTD,7
ALSUN PHARMACEUTICAL,7
MYREN LIFE SCIENCE INDIA PVT LTD,7
DAEWOO HEALTH CARE,7
ALKED BIOTECH,7
KLOKTER LIFE SCIENCES,7
TRIO LIFESCIENCE PVT LTD,7
SYNOMED HEALTHCARE,7
ANTIGEN HEALTHCARE P LTD,7
ARGUS COSMETICS,7
AXA PARENTERALS LTD,7
ETHICARE PHARMA,7
SURGE PHARMACEUTICALS PVT LTD,7
MEDOCEAN PHARMACEUTICALS,7
TREATWELL BIOTECH,7
XCEL LABS PVT LTD,7
VIBCARE PHARMA PVT LTD,7
P & P PHARMACEUTICALS,7
SVESSCARE PHARMA,7
OPTHO PHARMA PVT LTD,7
GNEXT LAB PVT LTD,7
XYRIS LIFE SCINCES PRIVATE LIMITED,7
DEMAX BIOTECH PVT LTD,7
NEURACLE LIFESCIENCES PVT LTD,7
GENIP PHARMACEUTICALS PVT LTD,7
ARTEL LABORATORIES,7
MAXIMON PHARMA PVT LTD,7
DOC'S SURGICAL MFG. CO.,7
JPEE DRUGS,7
SYDLER REMEDIES PVT LTD,7
SKYMAP PHARAMA,7
MAHADEV,7
FIGARO,7
UPRISING,7
MULTANI PHARMACEUTICALS LIMITED,6
ARKA VITAL SCIENCES PVT LTD,6
BAIDYANATH AYURVED BHAWAN,6
PENTAGON,6
UHC REMEDIES,6
MAXCURE NUTRAVEDICS LIMITED,6
BUTTER CUP CONFECTIONERY LTD,6
