Company Name,Number of Medicines
ASTRAZENECA PHARMA INDIA LTD,290
KOYE PHARMACEUTICALS PVT LTD,289
EMBIOTIC LABORATORIES (P) LTD,287
SCOTT EDIL PHARMACIA LTD,283
GUFIC BIOSCIENCES LTD,282
D D PHARMACEUTICALS,279
TAURUS LABORATORIES PVT LTD,278
AFIVE PHARMACEUTICALS,278
FINECURE PHARMACEUTICALS,275
CACHET PHARMACEUTICALS PVT LTD,273
ALBERT DAVID LIMITED,273
SIGNOVA PHARMA PVT LTD,271
NESTLE INDIA LTD,268
JOHNLEE PHARMACEUTICALS PVT LTD,267
DAKSH PHARMACEUTICALS PVT LTD,265
CANDOR BIOTECH LTD,265
OM BIOTECH,265
NIDUS PHARMA PVT LTD,264
AAMORB PHARMACEUTICALS PVT LTD,264
CASCA REMEDIES PVT LTD,263
VRPL HEALTHCARE PVT LTD,262
ICON LIFESCIENCES,262
SAIN MEDICAMENTS PVT LTD,261
YASH PHARMA LABORATORIES PVT LTD,260
FITWEL PHARMACEUTICALS LTD,260
INDCHEMIE HEALTH SPECIALITIES PVT LTD,259
BAIDYANATH CONSUMER LTD,259
ADEN HEALTHCARE,258
CELON LABS,257
STALLION LABORATORIES (P) LTD,257
HEALTHFIT,255
OSCAR REMEDIES PVT LTD,255
ZYDUS WELLNESS PRODUCTS LTD,254
BHARAT SERUMS & VACCINES LTD,254
GUJARAT TERCE LABORATORIES LTD,254
MEDLIFE WELLNESS PRIVATE LIMITED,253
BENNET PHARMACEUTICALS LTD,253
ACRON PHARMACEUTICALS,253
OZONE PHARMACEUTICALS LTD,252
IVA HEALTHCARE PVT LTD,252
LEXUS INDIA ORGANICS,252
FRANKLIN LABORATORIES (INDIA) PVT LTD,251
CURE QUICK PHARMACEUTICALS,250
STAUNCH PHARMACEUTICALS,250
ALTEUS BIOGENICS PVT LTD,249
CHARAK PHARMA PVT LTD,249
ZEN LABS INDIA,249
AGRAWAL PHARMACEUTICALS,247
MACMILLON PHARMACEUTICALS,247
NATCO PHARMA LTD,246
ADLEY FORMULATION,245
TABLETS INDIA LTD,244
ZYTRAS LIFE SCIENCES,244
ALDE MEDI IMPEX,244
ORION BIOTECH PVT LTD,241
ACEKEINETICS HEALTHCARE LTD,240
MAKERS LABS,239
ACME PHARMACEUTICALS,239
CANIXA LIFE SCIENCES,238
